,titulo,año_estreno,popularidad
4637,Dinner Rush,2000,1.578282
4638,Haiku Tunnel,2001,0.100465
4639,Big Trouble,2002,5.761051
4640,Glitter,2001,5.420686
4641,Training Day,2001,13.664622
4642,The American Astronaut,2001,1.090137
4643,Children Underground,2001,0.851458
4644,Go Tigers!,2001,0.03652
4645,Liam,2000,1.54417
4646,Megiddo: The Omega Code 2,2001,1.414972
4647,Sidewalks of New York,2001,2.678923
4648,The Endurance: Shackleton's Legendary Antarctic Expedition,2000,1.079975
4649,The French Lieutenant's Woman,1981,3.122717
4650,The Great Silence,1968,3.237317
4651,The Legend of Hell House,1973,7.784939
4652,Little Man Tate,1991,4.294078
4653,Moscow Does Not Believe in Tears,1980,3.494578
4654,Phantom of the Paradise,1974,6.469438
4655,The Return of a Man Called Horse,1976,1.247876
4656,Valdez Is Coming,1971,3.189948
4657,13 Ghosts,1960,6.586372
4658,Montenegro,1981,0.011917
4659,Opera,1987,7.448046
4660,Father Goose,1964,5.441136
4661,The Grass Is Greener,1960,4.074783
4662,A Hole in the Head,1959,3.113228
4663,Indiscreet,1958,1.407538
4664,"It's a Mad, Mad, Mad, Mad World",1963,13.266545
4665,King Solomon's Mines,1937,0.357832
4666,The Little Foxes,1941,1.745592
4667,Operation Petticoat,1959,3.918878
4668,Play Misty for Me,1971,5.820841
4669,Pocketful of Miracles,1961,2.649605
4670,Sayonara,1957,1.384634
4671,The Shop on Main Street,1965,1.615901
4672,Spring Break,1983,2.031593
4673,The Vanishing,1993,7.492302
4674,Silkwood,1983,4.873957
4675,I Never Promised You a Rose Garden,1977,0.796358
4676,Quadrophenia,1979,4.739658
4677,SpaceCamp,1986,6.41742
4678,When Worlds Collide,1951,3.18578
4679,Don't Say a Word,2001,6.824871
4680,Hearts in Atlantis,2001,6.425321
4681,Zoolander,2001,10.40782
4682,Born Romantic,2000,1.427917
4683,Extreme Days,2001,0.266895
4684,Va Savoir (Who Knows?),2001,0.446953
4685,Won't Anybody Listen,2001,0.078017
4686,Joy Ride,2001,10.337689
4687,Max Keeble's Big Move,2001,2.828884
4688,Serendipity,2001,5.715737
4689,Grateful Dawg,2000,0.052403
4690,La Cienaga,2001,1.628692
4691,The Big Red One,1980,5.395103
4692,The Boogey Man,1980,2.241945
4693,The Party,1980,12.105748
4694,Lady in a Cage,1964,0.686717
4695,Brubaker,1980,14.503963
4696,Can't Stop the Music,1980,5.389616
4697,Carny,1980,3.151704
4698,The Changeling,1980,5.821597
4699,Cheech & Chong's Next Movie,1980,6.194478
4700,Coal Miner's Daughter,1980,2.847277
4701,The Competition,1980,0.057987
4702,Cruising,1980,10.03959
4703,D.O.A.,1980,0.005351
4704,Death Ship,1980,3.245807
4705,The Last Metro,1980,4.50377
4706,Divine Madness,1980,0.732917
4707,The Dogs of War,1980,3.99897
4708,The Learning Curve,2001,0.225537
4709,Bandits,2001,13.136791
4710,Corky Romano,2001,4.890067
4711,Iron Monkey,1993,8.733961
4712,Fat Girl,2001,2.063604
4713,Mulholland Drive,2001,18.184056
4714,My First Mister,2001,1.866367
4715,Spriggan,1998,2.863839
4716,Things Behind the Sun,2001,0.480269
4717,Bones,2001,6.513545
4718,Brannigan,1975,1.878553
4719,Clambake,1967,0.81731
4720,Dirty Harry,1971,10.255315
4721,Destiny in Space,1994,1.578897
4722,Fiddler on the Roof,1971,9.227244
4723,Hail Columbia!,1982,0.00551
4724,Kansas,1988,0.537607
4725,Making the Grade,1984,0.411365
4726,Mission to Mir,1997,0.227606
4727,Not Without My Daughter,1991,9.505757
4728,Female Trouble,1974,2.229324
4729,Titanica,1995,0.826021
4730,From Hell,2001,7.79014
4731,The Last Castle,2001,9.807552
4732,Riding in Cars with Boys,2001,4.556123
4733,Bangkok Dangerous,1999,6.503788
4734,Burnt Money,2000,2.169971
4735,Dancing at the Blue Iguana,2000,1.900076
4736,Focus,2001,0.313295
4737,Intimacy,2001,4.472873
4738,Waking Life,2001,12.051214
4739,K-PAX,2001,12.400152
4740,On the Line,2001,4.118177
4741,Thir13en Ghosts,2001,8.819223
4742,Better Than Sex,2000,7.563606
4743,Donnie Darko,2001,18.303148
4744,High Heels and Low Lifes,2001,0.958387
4745,Life as a House,2001,4.145598
4746,The Man Who Wasn't There,2001,7.204951
4747,Ouch,2000,0.053858
4748,The Town Is Quiet,2000,0.143611
4749,Trembling Before G-d,2001,0.329301
4750,Domestic Disturbance,2001,6.353996
4751,"Monsters, Inc.",2001,26.419962
4752,The One,2001,9.769047
4753,Tape,2001,3.580063
4754,Heist,2001,5.741817
4755,Shallow Hal,2001,12.520688
4756,King of the Jungle,2000,0.938234
4757,Maze,2000,0.52991
4758,When a Stranger Calls,1979,9.133206
4759,Timerider: The Adventure of Lyle Swann,1982,2.093837
4760,The Wash,2001,2.483032
4761,Harry Potter and the Philosopher's Stone,2001,38.187238
4762,The Fluffer,2001,1.138132
4763,Novocaine,2001,3.916221
4764,Black Knight,2001,9.37044
4765,Out Cold,2001,4.197544
4766,Spy Game,2001,18.186839
4767,The Devil's Backbone,2001,11.111299
4768,In the Bedroom,2001,9.698269
4769,The Way We Laughed,1998,0.630045
4770,Hell Up In Harlem,1973,0.957581
4771,Bucktown,1975,0.231973
4772,Across 110th Street,1972,5.920786
4773,Le Petit Soldat,1963,2.394441
4774,The Incredible Shrinking Woman,1981,6.788178
4775,Katie Tippel,1975,0.347249
4776,Jabberwocky,1977,3.308729
4777,Funny Girl,1968,4.651946
4778,Circus of Horrors,1960,1.653187
4779,Breathless,1960,8.200586
4780,The Beastmaster,1982,5.577636
4781,Midway,1976,10.836557
4782,MacArthur,1977,1.956972
4783,The Young Lions,1958,12.654551
4784,Subway,1985,8.066663
4785,"Now, Voyager",1942,2.480798
4786,Little Women,1933,3.277545
4787,Halls of Montezuma,1951,0.78686
4788,Guadalcanal Diary,1943,0.204309
4789,Anzio,1968,1.565244
4790,The Cheap Detective,1978,3.351441
4791,Everybody's Famous!,2000,0.917373
4792,The Last Wave,1977,3.099222
4793,That Obscure Object of Desire,1977,6.049944
4794,The Toy,1982,6.269867
4795,Funeral in Berlin,1966,13.869663
4796,Don't Go in the House,1980,1.811797
4797,Dressed to Kill,1980,9.3806
4798,The Earthling,1980,0.006964
4799,The Exterminator,1980,3.576607
4800,The Falls,1980,0.866004
4801,Fame,1980,5.511557
4802,Fatso,1980,0.578345
4803,The Aviator's Wife,1981,7.326636
4804,The Final Countdown,1980,11.319726
4805,The First Deadly Sin,1980,1.64451
4806,Flash Gordon,1980,6.346979
4807,The Angry Red Planet,1959,2.891661
4808,At the Earth's Core,1976,3.277291
4809,Empire of the Ants,1977,3.244027
4810,The Enforcer,1976,7.550133
4811,An Eye for an Eye,1981,2.28638
4812,The Gauntlet,1977,6.389326
4813,I Bury the Living,1958,0.520916
4814,Invasion U.S.A.,1985,3.846849
4815,Lone Wolf McQuade,1983,5.839893
4816,Lord of the Flies,1990,13.889303
4817,Morons from Outer Space,1985,1.566559
4818,The People That Time Forgot,1977,13.5265
4819,Ocean's Eleven,1960,7.29506
4820,The Sicilian,1987,5.979288
4821,The Stunt Man,1980,3.909063
4822,Sudden Impact,1983,9.737907
4823,Behind Enemy Lines,2001,11.185625
4824,The Affair of the Necklace,2001,5.429441
4825,The Independent,2000,1.345586
4826,Porn Star: The Legend of Ron Jeremy,2001,0.794916
4827,Texas Rangers,2001,4.090903
4828,Ocean's Eleven,2001,12.114932
4829,Baran,2001,2.528855
4830,The Business of Strangers,2001,2.239112
4831,The Incredible Shrinking Man,1957,4.910227
4832,No Man's Land,2001,5.0511
4833,Piñero,2001,0.362429
4834,And Then There Were None,1945,4.496034
4835,The Blue Angel,1930,2.40612
4836,Moscow on the Hudson,1984,4.021828
4837,The Owl and the Pussycat,1970,1.589466
4838,Amélie,2001,12.879381
4839,Not Another Teen Movie,2001,9.101896
4840,Vanilla Sky,2001,10.071057
4841,Iris,2001,2.964908
4842,Kandahar,2001,1.462073
4843,Lantana,2001,2.994899
4844,The Royal Tenenbaums,2001,9.707542
4845,Bill & Ted's Bogus Journey,1991,7.256293
4846,Clockwise,1986,10.12489
4847,The Crawling Eye,1958,0.93291
4848,The Holcroft Covenant,1985,3.163464
4849,Morgan: A Suitable Case for Treatment,1966,1.207649
4850,Sheena,1984,4.11214
4851,Silent Rage,1982,1.808605
4852,Spacehunter: Adventures in the Forbidden Zone,1983,3.521436
4853,White Water Summer,1987,7.74579
4854,How High,2001,6.796277
4855,Jimmy Neutron: Boy Genius,2001,7.308162
4856,Joe Somebody,2001,4.273193
4857,Kate & Leopold,2001,7.196356
4858,The Lord of the Rings: The Fellowship of the Ring,2001,32.070725
4859,The Majestic,2001,8.063684
4860,A Beautiful Mind,2001,11.93646
4861,Little Otik,2001,2.684863
4862,The Convent,2000,1.351392
4863,The Defiant Ones,1958,3.666979
4864,Dodsworth,1936,2.010982
4865,Medium Cool,1969,1.080317
4866,Sahara,1943,2.27778
4867,Fritz the Cat,1972,3.027994
4868,The Nine Lives of Fritz the Cat,1974,1.553516
4869,The Party,1968,5.354787
4870,Separate Tables,1958,1.588943
4871,Sex and Zen,1991,1.824275
4872,Topkapi,1964,4.769209
4873,Witness for the Prosecution,1957,9.730217
4874,Ali,2001,9.303104
4875,Black Hawk Down,2001,10.064446
4876,Charlotte Gray,2001,11.34469
4877,Yentl,1983,2.592296
4878,Gosford Park,2001,14.101101
4879,I Am Sam,2001,12.935016
4880,Monster's Ball,2001,6.341187
4881,The Shipping News,2001,8.191094
4882,The Big Heat,1953,8.48839
4883,Motorama,1991,1.147517
4884,Queen Bee,1955,5.002136
4885,Silent Trigger,1996,1.672406
4886,Murder by Death,1976,5.570606
4887,The Servant,1963,6.071204
4888,The Waterdance,1992,4.358659
4889,Come Undone,2000,2.242307
4890,Orange County,2002,4.582365
4891,Brotherhood of the Wolf,2001,11.564252
4892,Another 48 Hrs.,1990,6.938921
4893,What Time Is It There?,2001,1.363895
4894,China Moon,1994,7.340512
4895,The Umbrella Woman,1987,0.139463
4896,Maria's Lovers,1984,1.631723
4897,Romantic Comedy,1983,1.076058
4898,The Russia House,1990,10.445117
4899,Truly Madly Deeply,1990,2.066145
4900,Wuthering Heights,1970,1.090793
4901,California Suite,1978,3.075976
4902,The Long Gray Line,1955,0.936527
4903,The Flight of Dragons,1982,2.370931
4904,Dragonslayer,1981,3.383201
4905,Conan the Destroyer,1984,10.151366
4906,Fire and Ice,1983,8.471302
4907,Forbidden Zone,1980,2.234554
4908,The Formula,1980,4.402396
4909,Foxes,1980,2.825173
4910,Galaxina,1980,1.409619
4911,Impostor,2001,8.209652
4912,Kung Pow: Enter the Fist,2002,5.305679
4913,Snow Dogs,2002,13.470227
4914,48 Hrs.,1982,15.297121
4915,The Farewell,2000,0.042859
4916,Italian for Beginners,2000,5.396508
4917,Time of Favor,2000,0.167601
4918,Blankman,1994,2.057471
4919,Brainstorm,1983,9.974312
4920,Dragon: The Bruce Lee Story,1993,5.079464
4921,The Enigma of Kaspar Hauser,1974,7.265781
4922,4 for Texas,1963,1.999626
4923,Heart of Glass,1976,1.779207
4924,Little Dieter Needs to Fly,1997,1.014863
4925,M*A*S*H,1970,7.701349
4926,Mrs. Soffel,1984,1.893822
4927,Seconds,1966,6.097929
4928,One-Eyed Jacks,1961,6.945886
4929,The Count of Monte Cristo,2002,10.765924
4930,The Mothman Prophecies,2002,8.50563
4931,A Walk to Remember,2002,8.054499
4932,American Adobo,2001,0.158651
4933,Beijing Bicycle,2001,1.199804
4934,Hey Happy,2001,0.142296
4935,Maelström,2000,1.343844
4936,Metropolis,2001,9.298092
4937,The Son's Room,2001,7.331867
4938,Storytelling,2001,9.447478
4939,Waydowntown,2000,0.506962
4940,The Adventures of Huck Finn,1993,4.048513
4941,Cousins,1989,7.584638
4942,Falling in Love,1984,5.289075
4943,Young at Heart,1954,0.86603
4944,Slackers,2002,8.559189
4945,Birthday Girl,2001,6.271279
4946,A Rumor of Angels,2000,3.278211
4947,Rare Birds,2001,1.788953
4948,Caged Heat,1974,2.030808
4949,Carmen Jones,1954,3.552627
4950,The Five Heartbeats,1991,5.861963
4951,Get Out Your Handkerchiefs,1978,2.411369
4952,Going Places,1974,2.836965
4953,Honky Tonk Freeway,1981,0.420615
4954,The Hunchback of Notre Dame,1956,2.646421
4955,The Magnificent One,1973,3.206246
4956,Big Fat Liar,2002,4.643981
4957,Collateral Damage,2002,10.175503
4958,Rollerball,2002,9.347077
4959,"Scotland, Pa.",2001,3.227759
4960,Baby's Day Out,1994,12.508518
4961,Bright Eyes,1934,0.808053
4962,Dimples,1936,1.146347
4963,Heidi,1937,1.396
4964,The Man Who Loved Women,1983,5.214505
4965,Richard Pryor: Here and Now,1983,0.353046
4966,Rookie of the Year,1993,6.961256
4967,The Sandlot,1993,10.392243
4968,Cows,1992,1.9687
4969,Don't Look Now,1973,5.966221
4970,Crossroads,2002,6.631356
4971,Hart's War,2002,14.116474
4972,John Q,2002,8.867562
4973,Return to Never Land,2002,8.759774
4974,Super Troopers,2001,7.351028
4975,The Good Son,1993,7.873794
4976,Last Orders,2001,2.76118
4977,After the Fox,1966,1.273061
4978,The Bad and the Beautiful,1952,3.12508
4979,Cast a Giant Shadow,1966,0.790084
4980,Designing Woman,1957,1.904237
4981,Funny Lady,1975,1.528577
4982,The Heartbreak Kid,1972,1.165341
4983,Saturday Night and Sunday Morning,1960,1.62152
4984,Sleuth,1972,10.387423
4985,Stroszek,1977,3.511224
4986,Summer of '42,1971,2.955581
4987,A Touch of Class,1973,1.11576
4988,Town Without Pity,1961,0.727819
4989,Used Cars,1980,6.963023
4990,The Deadly Mantis,1957,1.738062
4991,Dragonfly,2002,4.924078
4992,Queen of the Damned,2002,8.436243
4993,Big Bad Love,2001,0.437438
4994,Green Dragon,2001,0.755576
4995,How to Kill Your Neighbor's Dog,2002,6.38471
4996,The Last Man,2000,0.995043
4997,Maryam,2002,0.147295
4998,Mean Machine,2001,6.00447
4999,Monsoon Wedding,2001,10.625504
5000,Wendigo,2001,0.910772
5001,Scratch,2001,0.655434
5002,State Property,2002,0.620718
5003,The Bad News Bears,1976,8.399441
5004,The Bad News Bears Go to Japan,1978,1.047396
5005,The Bad News Bears in Breaking Training,1977,1.912284
5006,The Firemen's Ball,1967,2.589616
5007,The Lone Ranger,1956,0.889869
5008,The Lone Ranger and the Lost City of Gold,1958,1.037915
5009,Loves of a Blonde,1965,1.598199
5010,Vampire Hunter D: Bloodlust,2000,5.204291
5011,Wild Strawberries,1957,6.89416
5012,Black Like Me,1964,0.006154
5013,Cattle Queen of Montana,1954,0.313233
5014,Under the Skin,1997,0.364631
5015,40 Days and 40 Nights,2002,8.628928
5016,We Were Soldiers,2002,11.34706
5017,Trouble Every Day,2001,1.707091
5018,The Arena,1974,3.44163
5019,The Big Bird Cage,1972,2.077256
5020,The Big Doll House,1971,1.554937
5021,The Church,1989,3.117965
5022,Cross Creek,1983,1.97664
5023,FernGully: The Last Rainforest,1992,7.477944
5024,Hell of the Living Dead,1980,2.442874
5025,Intersection,1994,8.295437
5026,"Jo Jo Dancer, Your Life Is Calling",1986,0.109362
5027,StageFright: Aquarius,1987,2.776386
5028,A Troll in Central Park,1994,3.612089
5029,Zombie Flesh Eaters,1979,6.798595
5030,The Amazing Quest of Ernest Bliss,1936,0.505588
5031,My Favorite Brunette,1947,1.196569
5032,Royal Wedding,1951,2.275332
5033,Scarlet Street,1945,6.360746
5034,All About the Benjamins,2002,3.909079
5035,The Time Machine,2002,8.918134
5036,Full Frontal,2002,2.186683
5037,Divorcing Jack,1998,0.817974
5038,The Field,1990,1.656115
5039,Hidden Agenda,1990,1.75515
5040,The Magnificent Ambersons,1942,8.43511
5041,Fun,1994,1.709151
5042,Gloria,1980,10.0534
5043,The Great Rock 'n' Roll Swindle,1980,1.254364
5044,Hangar 18,1980,0.657274
5045,Hawk the Slayer,1980,2.699959
5046,He Knows You're Alone,1980,2.502341
5047,Heaven's Gate,1980,4.393576
5048,Hero at Large,1980,1.221702
5049,Honeysuckle Rose,1980,0.89977
5050,Hopscotch,1980,3.637392
5051,How to Beat the High Co$t of Living,1980,0.775043
5052,Humanoids from the Deep,1980,7.44429
5053,Inside Moves,1980,0.178039
5054,The Island,1980,1.282124
5055,The Jazz Singer,1980,0.841574
5056,Who's Singin' Over There?,1980,2.419145
5057,Zombie Lake,1981,1.385791
5058,Lion of the Desert,1981,2.875229
5059,Little Darlings,1980,5.296704
5060,The Long Good Friday,1980,11.693374
5061,The Long Riders,1980,3.557608
5062,The Man Who Saw Tomorrow,1981,0.281928
5063,Eaten Alive!,1980,1.669519
5064,Mon Oncle d'Amérique,1980,6.545371
5065,The Monster Club,1981,2.055833
5066,Death Watch,1980,2.02305
5067,Motel Hell,1980,6.398395
5068,Mother's Day,1980,2.795752
5069,The Mountain Men,1980,0.983739
5070,The Ninth Configuration,1980,3.491636
5071,Burial Ground,1981,2.364193
5072,The Nude Bomb,1980,1.939255
5073,The Octagon,1980,8.79061
5074,"Oh, God! Book II",1980,1.189834
5075,"Oh, God!",1977,2.660367
5076,Oh Heavenly Dog,1980,1.54645
5077,"Pepi, Luci, Bom",1980,1.253508
5078,Super Fuzz,1980,3.951404
5079,Ice Age,2002,17.328902
5080,Resident Evil,2002,7.781293
5081,Showtime,2002,4.917863
5082,Harrison's Flowers,2000,1.447713
5083,Kissing Jessica Stein,2001,3.374229
5084,Pauline & Paulette,2001,0.324682
5085,Promises,2001,0.549502
5086,Y Tu Mamá También,2001,13.962548
5087,All the Right Moves,1983,7.108331
5088,Barabbas,1961,1.846624
5089,The Ghost Breakers,1940,3.943187
5090,I Think I Do,1998,1.231723
5091,The Paleface,1948,1.170751
5092,Road to Morocco,1942,2.034301
5093,Road to Singapore,1940,1.226779
5094,Road to Utopia,1946,1.456451
5095,Road to Zanzibar,1941,1.208267
5096,Split Second,1992,3.2768
5097,A Tale of Springtime,1990,1.934962
5098,Taps,1981,5.355452
5099,Return of the Secaucus Seven,1980,0.492593
5100,Rude Boy,1980,1.152225
5101,Running Scared,1980,0.997875
5102,Seems Like Old Times,1980,9.896381
5103,Serial,1980,0.448461
5104,The Young Master,1980,3.475332
5105,Shogun Assassin,1980,3.364968
5106,Simon,1980,6.295611
5107,Smokey and the Bandit II,1980,7.190986
5108,Smokey and the Bandit,1977,7.68372
5109,Smokey and the Bandit Part 3,1983,13.721966
5110,Spetters,1980,2.222694
5111,Stir Crazy,1980,6.481464
5112,Sällskapsresan - eller finns det svenskt kaffe på grisfesten?,1980,2.972928
5113,Teheran '43,1980,1.878184
5114,Tender Cousins,1980,7.936244
5115,Blade II,2002,17.05064
5116,Sorority Boys,2002,3.500267
5117,Stolen Summer,2002,1.329626
5118,In The Winter Dark,1998,0.058586
5119,George Washington,2000,2.745074
5120,Homicidal,1961,1.057432
5121,Life Is to Whistle,1998,0.051087
5122,The Light at the Edge of the World,1971,0.452215
5123,Mr. Sardonicus,1961,1.933119
5124,Strait-Jacket,1964,1.727656
5125,Clockstoppers,2002,5.373623
5126,Death to Smoochy,2002,8.127591
5127,Panic Room,2002,14.969502
5128,The Rookie,2002,10.991137
5129,No Such Thing,2001,2.883184
5130,The Piano Teacher,2001,6.363081
5131,Teddy Bears' Picnic,2002,0.022347
5132,30 YEARS TO LIFE,2003,0.086622
5133,Time Out,2001,1.770055
5134,Very Annie Mary,2001,0.474556
5135,Bar Girls,1994,0.39401
5136,Boxcar Bertha,1972,5.070135
5137,Crimes of Passion,1984,2.077602
5138,The Evil That Men Do,1984,1.488663
5139,Fraternity Vacation,1985,3.90299
5140,Impromptu,1991,8.733819
5141,Salmonberries,1991,0.25793
5142,The Wrong Guys,1988,1.224667
5143,High Crimes,2002,8.371005
5144,National Lampoon’s Van Wilder,2002,7.668576
5145,Crush,2001,1.27202
5146,Lucky Break,2001,0.689177
5147,Les Destinées sentimentales,2000,0.117912
5148,"After Dark, My Sweet",1990,7.349189
5149,The Atomic Cafe,1982,1.706144
5150,Body and Soul,1947,1.990877
5151,First Men in the Moon,1964,3.593732
5152,Rashomon,1950,9.887355
5153,Slap Shot,1977,9.282077
5154,Changing Lanes,2002,7.81862
5155,Frailty,2001,7.397953
5156,New Best Friend,2002,5.258167
5157,The Sweetest Thing,2002,8.889064
5158,The Cat's Meow,2001,13.546984
5159,Human Nature,2001,7.714094
5160,My Big Fat Greek Wedding,2002,6.719949
5161,3:10 to Yuma,1957,15.931069
5162,Bite the Bullet,1975,10.099042
5163,Breakout,1975,2.301183
5164,Joe Versus the Volcano,1990,9.019396
5165,"Rome, Open City",1945,6.130177
5166,Return of the Killer Tomatoes!,1988,4.176478
5167,Return to Horror High,1987,3.048608
5168,Taking Care of Business,1990,3.063907
5169,Three Men and a Baby,1987,5.667344
5170,Three Men and a Little Lady,1990,5.062112
5171,Transylvania 6-5000,1985,2.006718
5172,The Watcher in the Woods,1980,9.003838
5173,Murder by Numbers,2002,9.645801
5174,The Scorpion King,2002,9.488117
5175,Behind the Sun,2001,1.836865
5176,Chelsea Walls,2002,1.246464
5177,Enigma,2001,21.520641
5178,Girls Can't Swim,2000,1.557804
5179,Joshua,2002,1.109111
5180,Nine Queens,2000,5.324962
5181,Spooky House,2004,0.982993
5182,The Triumph of Love,2001,0.816047
5183,World Traveler,2002,1.251219
5184,Jason X,2001,7.793873
5185,Life or Something Like It,2002,6.332398
5186,Dogtown and Z-Boys,2001,4.704091
5187,"Frank McKlusky, C.I.",2002,0.628159
5188,In Praise of Love,2001,0.525668
5189,Rain,2001,0.18238
5190,Salton Sea,2002,12.106615
5191,Some Body,2001,0.166855
5192,Vulgar,2000,1.62632
5193,The Aviator,1985,0.825362
5194,Bob le Flambeur,1956,2.666065
5195,Cadillac Man,1990,6.882529
5196,The Coca-Cola Kid,1985,0.872855
5197,Cuba,1979,1.846984
5198,Delirious,1991,1.33724
5199,Full Moon in Blue Water,1988,0.240351
5200,Husbands and Wives,1992,9.450853
5201,Joe,1970,0.345862
5202,Lenny,1974,7.285627
5203,Nomads,1986,5.917152
5204,The Temp,1993,1.047834
5205,Thief of Hearts,1984,0.941383
5206,Triumph of the Spirit,1989,1.986116
5207,Wild Orchid,1989,17.395203
5208,Deuces Wild,2002,2.050252
5209,Hollywood Ending,2002,9.987317
5210,Spider-Man,2002,29.413341
5211,The Mystic Masseur,2001,0.123276
5212,Warm Water Under a Red Bridge,2001,1.49206
5213,The Big Sleep,1978,1.713244
5214,Butterflies Are Free,1972,2.700782
5215,Cactus Flower,1969,2.817742
5216,The Cassandra Crossing,1976,3.939797
5217,The Giant Spider Invasion,1975,0.808843
5218,Iron Will,1994,9.074631
5219,Mountains of the Moon,1990,1.870581
5220,Rambling Rose,1991,3.399684
5221,The Survivors,1983,3.278056
5222,White Fang,1991,12.318052
5223,White Fang 2: Myth of the White Wolf,1994,1.819367
5224,The New Guy,2002,9.255418
5225,Unfaithful,2002,8.96839
5226,The Lady and the Duke,2001,0.765716
5227,Whore,1991,6.404093
5228,My Beautiful Laundrette,1985,2.793003
5229,Ballad of a Soldier,1959,3.434242
5230,Big Bad Mama,1974,4.204629
5231,Big Bad Mama II,1987,0.018017
5232,Beyond the Darkness,1979,8.541796
5233,Calamity Jane,1953,5.587033
5234,The Cranes Are Flying,1957,9.524512
5235,Devil Doll,1964,0.670951
5236,The Harvey Girls,1946,1.346707
5237,The Lady in Red,1979,0.85977
5238,About a Boy,2002,10.956665
5239,Star Wars: Episode II - Attack of the Clones,2002,14.072511
5240,The Believer,2001,8.128106
5241,The Importance of Being Earnest,2002,8.287054
5242,The Charge of the Light Brigade,1968,1.652755
5243,Every Which Way But Loose,1978,6.759519
5244,The Hound of the Baskervilles,1959,4.789131
5245,I Want to Live!,1958,3.930136
5246,The Last Waltz,1978,2.969857
5247,The Pride and the Passion,1957,3.033852
5248,Enough,2002,6.681287
5249,Insomnia,2002,11.424974
5250,Spirit: Stallion of the Cimarron,2002,16.724836
5251,CQ,2001,1.991025
5252,Thirteen Conversations About One Thing,2001,11.283079
5253,Bus Stop,1956,3.899327
5254,Cowboy,1958,4.314564
5255,Don't Bother to Knock,1952,2.38281
5256,The Gambler,1974,1.405267
5257,Let's Make Love,1960,3.273251
5258,Monkey Business,1952,2.853852
5259,Requiem for a Heavyweight,1962,1.199649
5260,River of No Return,1954,5.321632
5261,The Sum of All Fears,2002,9.268136
5262,Undercover Brother,2002,5.00725
5263,The Diaries of Vaslav Nijinsky,2002,0.321377
5264,The Sleepy Time Gal,2001,0.001893
5265,84 Charing Cross Road,1987,4.176526
5266,Dakota,1945,5.428329
5267,The Desert Rats,1953,6.414758
5268,Season's Beatings,1999,1.414306
5269,Nora,2000,1.129891
5270,Rapid Fire,1992,3.073113
5271,Silent Running,1972,14.108597
5272,Summer Holiday,1963,0.441386
5273,The Villain,1979,4.27404
5274,Zombie Holocaust,1980,2.873528
5275,Bad Company,2002,9.540021
5276,Divine Secrets of the Ya-Ya Sisterhood,2002,4.327218
5277,Cherish,2002,4.259532
5278,Atanarjuat: The Fast Runner,2002,1.135061
5279,The Bourne Identity,2002,21.040126
5280,Scooby-Doo,2002,8.592826
5281,Windtalkers,2002,7.455875
5282,The Dangerous Lives of Altar Boys,2002,3.401162
5283,The Emperor's New Clothes,2001,0.901594
5284,Gangster No. 1,2000,2.811699
5285,Harvard Man,2001,4.242462
5286,Dark Blue World,2001,2.702716
5287,Bad Company,1972,6.975511
5288,Caveman,1981,2.5697
5289,Cheech & Chong's The Corsican Brothers,1984,3.767854
5290,5 Card Stud,1968,1.372254
5291,For a Lost Soldier,1992,1.593471
5292,Goin' South,1978,9.07909
5293,Hero and the Terror,1988,3.541487
5294,Silver Bullet,1985,5.852908
5295,"Sorry, Wrong Number",1948,8.433119
5296,Hombre,1967,8.019495
5297,The Horse's Mouth,1958,0.829756
5298,The Manhattan Project,1986,4.29831
5299,Men at Work,1990,8.339485
5300,S.O.B.,1981,2.648622
5301,She Wore a Yellow Ribbon,1949,7.715087
5302,Traces of Red,1992,0.575656
5303,V.I. Warshawski,1991,2.08013
5304,Juwanna Mann,2002,3.970857
5305,Lilo & Stitch,2002,18.469238
5306,Minority Report,2002,20.666063
5307,Rabbit-Proof Fence,2002,4.403771
5308,Sunshine State,2002,4.016473
5309,Hey Arnold! The Movie,2002,4.5973
5310,Mr. Deeds,2002,6.674356
5311,Lovely & Amazing,2001,2.605409
5312,Pumpkin,2002,2.008306
5313,Look Who's Talking Now!,1993,9.016076
5314,Lost in Yonkers,1993,1.521922
5315,Mo' Money,1992,1.755586
5316,The Object of Beauty,1991,0.902187
5317,Wagons East!,1994,4.102354
5318,Zebrahead,1992,0.506589
5319,Like Mike,2002,5.422624
5320,Men in Black II,2002,16.775716
5321,The Powerpuff Girls Movie,2002,5.024459
5322,Me Without You,2001,7.576878
5323,The Crocodile Hunter: Collision Course,2002,3.148745
5324,Reign of Fire,2002,13.067306
5325,Road to Perdition,2002,13.426684
5326,All About Lily Chou-Chou,2001,2.695993
5327,My Wife Is an Actress,2001,1.257659
5328,Never Again,2002,0.807369
5329,20 Million Miles to Earth,1957,8.875771
5330,Grand Theft Auto,1977,1.974792
5331,The Importance of Being Earnest,1952,2.328043
5332,Perfect,1985,1.289698
5333,1776,1972,1.558517
5334,Fox and His Friends,1975,2.82367
5335,The Legend of Boggy Creek,1972,1.522753
5336,Z,1969,11.943621
5337,Halloween: Resurrection,2002,8.502529
5338,Sex and Lucia,2001,8.164312
5339,Eight Legged Freaks,2002,10.800753
5340,K-19: The Widowmaker,2002,7.718723
5341,Stuart Little 2,2002,9.274909
5342,Austin Powers in Goldmember,2002,8.786653
5343,The Country Bears,2002,7.007574
5344,The Kid Stays in the Picture,2002,2.6493
5345,Happy Times,2000,0.653271
5346,Tadpole,2002,9.203416
