,titulo,fecha_estreno,retorno,presupuesto,recaudaccion,director
1231,Young Frankenstein,1974-12-15,30.8119,2800000,86273333.0,Mel Brooks
1232,Night on Earth,1991-10-03,0.5759,3500000,2015810.0,Jim Jarmusch
1233,Raise the Red Lantern,1991-12-20,0.0,0,0.0,Zhang Yimou
1234,The Great Dictator,1940-10-15,5.5,2000000,11000000.0,Charlie Chaplin
1235,Fantasia,1940-11-13,36.5439,2280000,83320000.0,"Samuel Armstrong, James Algar, William Roberts, Paul Satterfield, Hamilton Luske, Jim Handley, Ford Beebe, T. Hee, Wilfred Jackson, Ben Sharpsteen, Norman Ferguson, David Hand"
1236,High Noon,1952-03-27,10.9589,730000,8000000.0,Fred Zinnemann
1237,The Big Sleep,1946-08-23,0.0,0,0.0,Howard Hawks
1238,Heathers,1988-10-01,0.0,0,1108462.0,Michael Lehmann
1239,Somewhere in Time,1980-10-02,0.0,5100000,0.0,Jeannot Szwarc
1240,Ben-Hur,1959-12-26,9.7933,15000000,146900000.0,William Wyler
1241,This Is Spinal Tap,1984-05-04,1.8945,2500000,4736202.0,Rob Reiner
1242,Koyaanisqatsi,1982-06-06,0.0,0,1723872.0,Godfrey Reggio
1243,Some Kind of Wonderful,1987-02-27,0.0,0,18553948.0,Howard Deutch
1244,Indiana Jones and the Last Crusade,1989-05-24,9.8786,48000000,474171806.0,Steven Spielberg
1245,Being There,1979-12-19,0.0,0,30177511.0,Hal Ashby
1246,Gandhi,1982-11-30,3.5335,22000000,77737889.0,Richard Attenborough
1247,The Unbearable Lightness of Being,1988-02-05,0.5886,17000000,10006806.0,Philip Kaufman
1248,A Room with a View,1985-12-13,6.9889,3000000,20966644.0,James Ivory
1249,Real Genius,1985-08-07,0.0,0,13000000.0,Martha Coolidge
1250,Pink Floyd: The Wall,1982-07-14,1.8537,12000000,22244207.0,Alan Parker
1251,The Killing Fields,1984-11-02,2.4097,14400000,34700291.0,Roland Joffé
1252,My Life as a Dog,1985-12-12,0.0,0,0.0,Lasse Hallström
1253,Forbidden Planet,1956-03-15,1.7105,1900000,3250000.0,Fred M. Wilcox
1254,Field of Dreams,1989-04-21,0.0,0,84431625.0,Phil Alden Robinson
1255,The Man Who Would Be King,1975-12-03,0.0,0,0.0,John Huston
1256,Butch Cassidy and the Sundance Kid,1969-09-23,17.0515,6000000,102308889.0,George Roy Hill
1257,"Paris, Texas",1984-05-19,1.249,1746964,2181987.0,Wim Wenders
1258,Until the End of the World,1991-09-12,0.0,23000000,0.0,Wim Wenders
1259,When Harry Met Sally...,1989-07-21,5.8015,16000000,92823546.0,Rob Reiner
1260,I Shot a Man in Vegas,1996-10-18,0.0,0,0.0,Keoni Waxman
1261,Parallel Sons,1995-01-01,0.0,0,0.0,John G. Young
1262,Hype!,1996-11-08,0.0,0,0.0,Doug Pray
1263,Santa with Muscles,1996-11-08,0.0,0,0.0,John Murlowski
1264,Female Perversions,1996-01-22,0.0,0,0.0,Susan Streitfeld
1265,Mad Dog Time,1996-11-08,0.0,0,0.0,Larry Bishop
1266,Breathing Room,1996-11-08,0.0,0,0.0,Jon Sherman
1267,Paris Was a Woman,1996-02-19,0.0,0,0.0,Greta Schiller
1268,I'm Not Rappaport,1996-12-24,0.0,0,0.0,Herb Gardner
1269,Blue Juice,1995-09-15,0.0,0,0.0,Carl Prechezer
1271,Alien³,1992-05-22,3.1955,50000000,159773545.0,David Fincher
1272,An American Werewolf in London,1981-08-21,3.1973,10000000,31973249.0,John Landis
1273,Amityville: It's About Time,1992-07-16,0.0,0,0.0,Tony Randel
1274,Amityville 3-D,1983-11-18,0.0,0,6333135.0,Richard Fleischer
1275,Amityville: Dollhouse,1996-10-02,0.0,0,0.0,Steve White
1276,Amityville: A New Generation,1993-09-29,0.0,1500000,0.0,John Murlowski
1277,Amityville II: The Possession,1982-09-24,0.0,0,12534817.0,Damiano Damiani
1278,The Amityville Horror,1979-07-27,0.0,0,86432000.0,Stuart Rosenberg
1279,The Amityville Curse,1989-12-01,0.0,0,0.0,Tom Bery
1280,Blood for Dracula,1974-08-13,0.0,0,0.0,Paul Morrissey
1281,April Fool's Day,1986-03-27,0.0,5000000,0.0,Fred Walton
1282,Audrey Rose,1977-04-06,0.0,0,0.0,Robert Wise
1283,The Believers,1987-06-09,0.0,0,18753438.0,John Schlesinger
1284,The Birds,1963-03-28,4.5614,2500000,11403529.0,Alfred Hitchcock
1285,The Blob,1958-09-12,0.0,240000,0.0,Irvin S. Yeaworth Jr.
1286,Blood Beach,1980-09-01,0.0,2000000,0.0,Jeffrey Bloom
1287,Body Parts,1991-08-02,0.0,0,0.0,Eric Red
1288,The Body Snatcher,1945-05-25,0.0,0,0.0,Robert Wise
1289,Dracula,1992-11-13,5.3966,40000000,215862692.0,Francis Ford Coppola
1290,Bride of Frankenstein,1935-04-21,0.0,393750,0.0,James Whale
1291,Burnt Offerings,1976-10-18,0.0,0,0.0,Dan Curtis
1292,Candyman,1992-10-16,4.2987,6000000,25792310.0,Bernard Rose
1293,Cape Fear,1991-11-15,5.2086,35000000,182300000.0,Martin Scorsese
1294,Cape Fear,1962-04-12,0.0,0,0.0,J. Lee Thompson
1295,Carrie,1976-11-03,18.7778,1800000,33800000.0,Brian De Palma
1296,Cat People,1982-04-02,0.0,0,0.0,Paul Schrader
1297,A Nightmare on Elm Street,1984-11-14,14.1692,1800000,25504513.0,Wes Craven
1298,Nosferatu,1922-03-15,0.0,0,0.0,F.W. Murnau
1299,Vampire in Venice,1988-09-15,0.0,0,0.0,"Augusto Caminito, Mario Caiano, Luigi Cozzi, Klaus Kinski, Maurizio Lucidi"
1300,The Omen,1976-06-06,21.7582,2800000,60922980.0,Richard Donner
1301,Blood and Wine,1996-10-03,0.0,26000000,0.0,Bob Rafelson
1302,Albino Alligator,1996-09-09,0.0,6000000,0.0,Kevin Spacey
1303,The Mirror Has Two Faces,1996-11-15,0.0,42000000,0.0,Barbra Streisand
1304,Breaking the Waves,1996-05-13,0.0,0,3803298.0,Lars von Trier
1305,Nightwatch,1997-01-31,0.0,0,1179002.0,Ole Bornedal
1306,Star Trek: First Contact,1996-11-21,3.2609,46000000,150000000.0,Jonathan Frakes
1307,Shine,1996-01-21,0.0,0,0.0,Scott Hicks
1308,Sling Blade,1996-08-30,24.4441,1000000,24444121.0,Billy Bob Thornton
1309,Jingle All the Way,1996-11-15,2.1639,60000000,129832389.0,Brian Levant
1310,Identification of a Woman,1982-10-21,0.0,0,0.0,Michelangelo Antonioni
1311,Paradise Lost: The Child Murders at Robin Hood Hills,1996-12-03,0.0,0,0.0,"Joe Berlinger, Bruce Sinofsky"
1312,The Preacher's Wife,1996-12-13,1.2023,40000000,48093211.0,Penny Marshall
1313,Zero Kelvin,1995-09-29,0.0,2535000,0.0,Hans Petter Moland
1314,Ridicule,1996-05-09,0.8346,3000000,2503829.0,Patrice Leconte
1315,The Crucible,1996-11-27,0.0,25000000,0.0,Nicholas Hytner
1316,101 Dalmatians,1996-11-17,5.9387,54000000,320689294.0,Stephen Herek
1317,The Forbidden Christ,1951-06-08,0.0,0,0.0,Curzio Malaparte
1318,I Can't Sleep,1994-05-18,0.0,0,0.0,Claire Denis
1319,Die Hard 2,1990-07-02,3.429,70000000,240031094.0,Renny Harlin
1320,Star Trek: The Motion Picture,1979-12-06,3.9714,35000000,139000000.0,Robert Wise
1321,Star Trek VI: The Undiscovered Country,1991-12-05,3.5889,27000000,96900000.0,Nicholas Meyer
1322,Star Trek V: The Final Frontier,1989-06-09,2.34,30000000,70200000.0,William Shatner
1323,Star Trek II: The Wrath of Khan,1982-06-03,8.0667,12000000,96800000.0,Nicholas Meyer
1324,Star Trek III: The Search for Spock,1984-05-31,4.8333,18000000,87000000.0,Leonard Nimoy
1325,Star Trek IV: The Voyage Home,1986-11-25,5.5417,24000000,133000000.0,Leonard Nimoy
1326,Batman Returns,1992-06-19,3.5,80000000,280000000.0,Tim Burton
1327,Young Guns,1988-08-12,3.4405,13000000,44726644.0,Christopher Cain
1328,Young Guns II,1990-08-01,0.0,20000000,0.0,Geoff Murphy
1329,Grease,1978-07-07,30.3023,6000000,181813770.0,Randal Kleiser
1330,Grease 2,1982-06-11,1.1494,13200000,15171476.0,Patricia Birch
1331,Marked for Death,1990-10-05,3.837,12000000,46044400.0,Dwight H. Little
1332,Adrenalin: Fear the Rush,1996-11-29,0.0,0,0.0,Albert Pyun
1333,The Substance of Fire,1996-09-11,0.0,0,0.0,Daniel J. Sullivan
1334,Under Siege,1992-10-08,4.4732,35000000,156563139.0,Andrew Davis
1335,Terror in a Texas Town,1958-09-01,0.0,0,0.0,Joseph H. Lewis
1336,Jaws,1975-06-18,67.2363,7000000,470654000.0,Steven Spielberg
1337,Jaws 2,1978-06-16,9.3942,20000000,187884007.0,Jeannot Szwarc
1338,Jaws 3-D,1983-03-16,4.2921,20500000,87987055.0,Joe Alves
1339,My Fellow Americans,1996-12-20,0.0,0,0.0,Peter Segal
1340,Mars Attacks!,1996-12-12,1.4482,70000000,101371017.0,Tim Burton
1341,Citizen Ruth,1996-12-13,0.0511,3000000,153155.0,Alexander Payne
1342,Jerry Maguire,1996-12-06,5.4711,50000000,273552592.0,Cameron Crowe
1343,Raising Arizona,1987-03-01,4.8634,6000000,29180280.0,"Joel Coen, Ethan Coen"
1344,Tin Men,1987-03-06,0.0,0,0.0,Barry Levinson
1345,Sneakers,1992-09-09,0.0,0,105232691.0,Phil Alden Robinson
1346,Bastard Out of Carolina,1996-12-15,0.0,0,0.0,Anjelica Huston
1347,In Love and War,1996-12-18,0.0,0,0.0,Richard Attenborough
1348,Marvin's Room,1996-12-18,0.5567,23000000,12803305.0,Jerry Zaks
1349,Somebody Is Waiting,1996-12-19,0.0,0,0.0,Martin Donovan
1350,Ghosts of Mississippi,1996-12-20,0.0,0,0.0,Rob Reiner
1351,Night Falls on Manhattan,1996-10-22,0.0,0,0.0,Sidney Lumet
1352,Beavis and Butt-Head Do America,1996-12-15,0.0,12000000,0.0,Mike Judge
1353,La Cérémonie,1995-08-30,0.0,0,0.0,Claude Chabrol
1354,Scream,1996-12-20,12.3605,14000000,173046663.0,Wes Craven
1355,The Last of the Mohicans,1992-09-25,1.8876,40000000,75505856.0,Michael Mann
1356,Michael,1996-12-25,0.0,0,119718203.0,Nora Ephron
1357,The Evening Star,1996-12-25,0.0,0,0.0,Robert Harling
1358,Hamlet,1996-12-25,0.0,0,0.0,Kenneth Branagh
1359,Some Mother's Son,1996-12-25,0.0,0,0.0,Terry George
1360,The Whole Wide World,1996-12-20,0.0,1300000,0.0,Dan Ireland
1361,Mother,1996-12-25,0.0,0,0.0,Albert Brooks
1362,Thieves,1996-08-21,0.0,0,0.0,André Téchiné
1363,Evita,1996-12-14,2.5645,55000000,141047179.0,Alan Parker
1364,The Portrait of a Lady,1996-10-18,0.0,0,3692836.0,Jane Campion
1365,Walkabout,1971-07-01,0.0,0,0.0,Nicolas Roeg
1366,Message to Love: The Isle of Wight Festival,1996-02-15,0.0,0,0.0,Murray Lerner
1367,Murder at 1600,1997-04-18,0.0,0,25804707.0,Dwight H. Little
1368,Hearts and Minds,1995-08-29,0.0,500000,0.0,Ralph Ziman
1369,Inside,1996-08-25,0.0,0,0.0,Arthur Penn
1370,Fierce Creatures,1997-01-24,0.0,0,9381260.0,"Fred Schepisi, Robert Young"
1371,Zeus & Roxanne,1997-01-24,0.0,0,0.0,George T. Miller
1372,Turbulence,1997-01-09,0.2085,55000000,11466088.0,Robert Butler
1373,Angel Baby,1995-09-09,0.0,0,0.0,Michael Rymer
1374,First Strike,1996-02-10,0.0,0,21890845.0,Stanley Tong
1375,Underworld,1996-06-01,0.0,0,0.0,Roger Christian
1376,Beverly Hills Ninja,1997-01-17,0.0,0,0.0,Dennis Dugan
1377,Metro,1997-01-16,0.5816,55000000,31987563.0,Thomas Carter
1378,The Machine,1994-05-28,0.0,0,0.0,François Dupeyron
1379,Falling in Love Again,1980-11-21,0.0,0,0.0,Steven Paul
1380,The Cement Garden,1993-02-20,0.0,0,322975.0,Andrew Birkin
1381,Dante's Peak,1997-02-07,1.5356,116000000,178127760.0,Roger Donaldson
1382,Meet Wally Sparks,1997-01-01,0.0,0,0.0,Peter Baldwin
1383,Amos & Andrew,1993-03-05,0.0,0,0.0,E. Max Frye
1384,Benny & Joon,1993-04-16,0.0,0,23202734.0,Jeremiah S. Chechik
1385,Prefontaine,1997-01-24,0.0737,8000000,589304.0,Steve James
1386,A Tickle in the Heart,1996-11-21,0.0,0,0.0,Stefan Schwietert
1387,Guantanamera,1995-01-01,0.0,0,0.0,"Tomás Gutiérrez Alea, Juan Carlos Tabío"
1388,McHale's Navy,1997-04-18,0.0,0,4529843.0,Bryan Spicer
1389,Kolya,1996-05-05,0.0,0,5770254.0,Jan Svěrák
1390,Gridlock'd,1997-01-29,0.0,0,0.0,Vondie Curtis-Hall
1392,Waiting for Guffman,1996-01-31,0.0,0,0.0,Christopher Guest
1393,Prisoner of the Mountains,1996-03-15,0.0,0,0.0,Sergei Bodrov Jr.
1394,The Beautician and the Beast,1997-02-07,0.0,16000000,0.0,Ken Kwapis
1395,SubUrbia,1996-02-07,0.0,0,656747.0,Richard Linklater
1396,Hotel de Love,1996-12-19,0.0,0,0.0,Craig Rosenberg
1397,The Pest,1997-02-07,0.0,17000000,0.0,R. Paul Miller
1398,Fools Rush In,1997-02-14,0.0,0,29481428.0,Andy Tennant
1399,Touch,1997-02-14,0.0,0,0.0,Paul Schrader
1400,Absolute Power,1997-02-14,1.0014,50000000,50068310.0,Clint Eastwood
1401,That Darn Cat,1997-02-14,0.0,0,0.0,Bob Spiers
1402,Vegas Vacation,1997-02-13,1.456,25000000,36400360.0,Stephen Kessler
1404,That Old Feeling,1997-04-04,0.0,0,0.0,Carl Reiner
1405,Lost Highway,1997-01-15,0.245,15000000,3675201.0,David Lynch
1406,Rosewood,1997-02-21,0.4377,30000000,13130349.0,John Singleton
1407,Donnie Brasco,1997-02-27,1.1987,35000000,41954997.0,Mike Newell
1408,Salut cousin !,1996-11-20,0.0,0,0.0,Merzak Allouache
1409,Booty Call,1997-02-26,0.0,0,20060051.0,Jeff Pollack
1410,Rhyme & Reason,1997-03-04,0.0,0,0.0,Peter Spirer
1411,Boys Life 2,1997-03-07,0.0,0,532654.0,"Mark Christopher, Peggy Rajski, Nickolas Perry, Tom DeCerchio"
1412,City of Industry,1997-03-14,0.0,8000000,0.0,John Irvin
1413,Best Men,1997-01-01,0.0,1000000,0.0,Tamra Davis
1414,Jungle 2 Jungle,1997-03-07,0.0,0,0.0,John Pasquin
1415,Kama Sutra - A Tale of Love,1996-09-11,1.3697,3000000,4109095.0,Mira Nair
1416,Private Parts,1997-03-07,1.4725,28000000,41230799.0,Betty Thomas
1417,Love Jones,1997-03-14,0.0,10000000,0.0,Theodore Witcher
1418,The Saint,1997-04-03,1.7362,68000000,118063304.0,Phillip Noyce
1419,Smilla's Sense of Snow,1997-02-13,0.0,35000000,0.0,Bille August
1420,The Van,1996-05-11,0.0,0,0.0,Stephen Frears
1421,Crash,1996-07-17,0.0,10000000,0.0,David Cronenberg
1422,The Daytrippers,1996-01-01,0.0,0,0.0,Greg Mottola
1423,Liar Liar,1997-03-21,6.7269,45000000,302710615.0,Tom Shadyac
1424,The Quiet Room,1996-03-21,0.0,0,0.0,Rolf de Heer
1425,Selena,1997-03-21,3.0,20000000,60000000.0,Gregory Nava
1426,The Devil's Own,1997-03-12,1.5645,90000000,140807547.0,Alan J. Pakula
1427,Cats Don't Dance,1997-03-26,0.1115,32000000,3566637.0,Mark Dindal
1428,B.A.P.S.,1997-03-28,0.0,0,7240837.0,Robert Townsend
1429,Love and Other Catastrophes,1996-08-01,0.0,0,0.0,Emma-Kate Croghan
1430,Turbo: A Power Rangers Movie,1997-03-27,1.798,10000000,17979739.0,"Shuki Levy, David Winning"
1431,Anna Karenina,1997-04-04,0.0226,35000000,791830.0,Bernard Rose
1432,Double Team,1997-04-04,0.0,30000000,0.0,Tsui Hark
1433,Inventing the Abbotts,1997-04-04,0.0,0,5926128.0,Pat O'Connor
1434,Anaconda,1997-04-11,3.0419,45000000,136885767.0,Luis Llosa
1435,Grosse Pointe Blank,1997-04-11,0.0,0,28084357.0,George Armitage
1436,Keys to Tulsa,1997-04-11,0.0,0,57252.0,Leslie Greif
1437,Kissed,1996-09-07,0.0,0,0.0,Lynne Stopkewich
1438,8 Heads in a Duffel Bag,1997-04-18,0.0,0,0.0,Tom Schulman
1439,Hollow Reed,1996-06-24,0.0,0,0.0,Angela Pope
1440,Paradise Road,1997-04-11,0.0,16000000,0.0,Bruce Beresford
1441,Traveller,1997-04-18,0.0,0,0.0,Jack Green
1442,All Over Me,1997-02-15,0.0,0,0.0,Alex Sichel
1443,A Brother's Kiss,1997-04-25,0.0,0,0.0,Seth Zvi Rosenfeld
1444,A Chef in Love,1996-06-06,0.0,0,0.0,Nana Dzhordzhadze
1445,Romy and Michele's High School Reunion,1997-04-25,0.0,0,29235353.0,David Mirkin
1446,Temptress Moon,1996-05-09,0.0,0,0.0,Chen Kaige
1447,Volcano,1997-04-25,0.0,90000000,0.0,Mick Jackson
1448,Children of the Revolution,1996-06-14,0.0,0,0.0,Peter Duncan
1449,Austin Powers: International Man of Mystery,1997-05-02,4.1021,16500000,67683989.0,Jay Roach
1450,Breakdown,1997-05-02,1.3933,36000000,50159144.0,Jonathan Mostow
1451,Broken English,1996-09-09,0.0,0,0.0,Gregor Nicholas
1452,Commandments,1997-05-02,0.0,0,0.0,Daniel Taplitz
1453,Ripe,1996-09-10,0.0,0,0.0,Mo Ogrodnik
1454,"Truth or Consequences, N.M.",1997-01-01,0.0,0,0.0,Kiefer Sutherland
1455,The Turning,1992-01-01,0.0,0,0.0,L.A. Puopolo
1456,Warriors of Virtue,1997-05-02,0.0,0,0.0,Ronny Yu
1457,Fathers' Day,1997-05-09,0.0,85000000,0.0,Ivan Reitman
1458,The Fifth Element,1997-05-07,2.9324,90000000,263920180.0,Luc Besson
1460,Nowhere,1997-05-09,0.0,0,27354.0,Gregg Araki
1461,Losing Chase,1996-08-18,0.0,0,0.0,Kevin Bacon
1462,Sprung,1997-05-14,0.0,0,7553105.0,Rusty Cundieff
1463,Le Bonheur,1965-02-10,0.0,0,0.0,Agnès Varda
1464,Love! Valour! Compassion!,1997-05-16,1.45,2000000,2900000.0,Joe Mantello
1465,Shall We Dance?,1996-01-27,0.0,0,0.0,Masayuki Suo
1466,The Second Jungle Book: Mowgli & Baloo,1997-05-16,0.0,0,479099.0,"Dee McLachlan, Duncan McLachlan"
1467,Twin Town,1997-04-11,0.0,0,0.0,Kevin Allen
1468,Addicted to Love,1997-05-23,0.0,0,34673095.0,Griffin Dunne
1469,Brassed Off,1996-11-01,0.0,0,0.0,Mark Herman
1470,The Designated Mourner,1997-05-23,0.0,0,0.0,David Hare
1471,The Lost World: Jurassic Park,1997-05-23,3.138,73000000,229074524.0,Steven Spielberg
1472,Ponette,1996-09-10,0.0,0,0.0,Jacques Doillon
1473,Schizopolis,1996-09-13,0.0,0,0.0,Steven Soderbergh
1474,Shiloh,1996-11-30,0.0,0,0.0,Dale Rosenbloom
1475,The War at Home,1996-11-20,0.0,0,0.0,Emilio Estevez
1476,Rough Magic,1995-09-07,0.0,0,0.0,Clare Peploe
1477,Trial and Error,1997-05-30,0.0,0,0.0,Jonathan Lynn
1478,Buddy,1997-06-06,0.0,0,0.0,Caroline Thompson
1479,Con Air,1997-06-01,2.9868,75000000,224012234.0,Simon West
1480,Late Bloomers,1996-01-01,0.0,0,0.0,Julia Dyer
1481,The Pillow Book,1996-05-12,0.0,0,0.0,Peter Greenaway
1482,To Have (Or Not),1995-12-27,0.0,0,0.0,Laetitia Masson
1483,Speed 2: Cruise Control,1997-06-13,1.0282,160000000,164508066.0,Jan de Bont
1484,Squeeze,1997-06-06,0.0206,500000,10300.0,Robert Patton-Spruill
1485,Sudden Manhattan,1996-10-11,0.0,0,0.0,Adrienne Shelly
1487,Wedding Bell Blues,1996-10-18,0.0,0,44000.0,Dana Lustig
1488,Batman & Robin,1997-06-20,1.9057,125000000,238207122.0,Joel Schumacher
1490,Roseanna's Grave,1997-03-06,0.0,0,0.0,Paul Weiland
1491,Head Above Water,1996-11-07,0.0,0,0.0,Jim Wilson
1492,Hercules,1997-06-26,2.9731,85000000,252712101.0,"Ron Clements, John Musker"
1493,The Last Time I Committed Suicide,1997-06-20,0.0,0,0.0,Stephen T. Kay
1494,MURDER and murder,1996-09-10,0.0,0,0.0,Yvonne Rainer
1495,My Best Friend's Wedding,1997-06-19,7.876,38000000,299288605.0,P.J. Hogan
1496,Tetsuo II: Body Hammer,1992-01-01,0.0,0,0.0,Shinya Tsukamoto
1497,When the Cat's Away,1996-04-03,0.0,0,0.0,Cédric Klapisch
1498,Contempt,1963-10-21,0.5871,900000,528428.0,Jean-Luc Godard
1499,Face/Off,1997-06-27,3.071,80000000,245676146.0,John Woo
1500,Fall,1997-06-20,0.0,0,0.0,Eric Schaeffer
1501,Gabbeh,1996-06-26,0.0,0,0.0,Mohsen Makhmalbaf
1502,Mondo,1995-06-01,0.0,0,0.0,Tony Gatlif
1503,The Innocent Sleep,1996-01-25,0.0,0,0.0,Scott Michell
1504,For Ever Mozart,1996-11-27,0.0,0,0.0,Jean-Luc Godard
1505,Men in Black,1997-07-02,6.5488,90000000,589390539.0,Barry Sonnenfeld
1506,Out to Sea,1997-07-02,0.0,0,0.0,Martha Coolidge
1507,Wild America,1997-07-02,0.0,0,0.0,William Dear
1508,A Simple Wish,1997-07-11,0.298,28000000,8345056.0,Michael Ritchie
1509,Contact,1997-07-11,1.9013,90000000,171120329.0,Robert Zemeckis
1510,Love Serenade,1996-10-10,0.0,0,0.0,Shirley Barrett
1511,G.I. Jane,1997-08-22,0.9634,50000000,48169156.0,Ridley Scott
1512,Conan the Barbarian,1982-04-02,3.9557,20000000,79114085.0,John Milius
1513,George of the Jungle,1997-07-15,0.0,55000000,0.0,Sam Weisman
1514,Cop Land,1997-08-15,2.9908,15000000,44862187.0,James Mangold
1515,Event Horizon,1997-08-15,0.4446,60000000,26673242.0,Paul W.S. Anderson
1516,Spawn,1997-07-31,2.196,40000000,87840042.0,Mark A.Z. Dippé
1517,Air Bud,1997-08-01,7.7148,3000000,23144499.0,Charles Martin Smith
1518,Picture Perfect,1997-08-01,2.3333,19000000,44332015.0,Glenn Gordon Caron
1519,In the Company of Men,1997-01-19,0.0,0,0.0,Neil LaBute
1520,Free Willy 3: The Rescue,1997-08-08,0.0,0,0.0,Sam Pillsbury
1521,Career Girls,1997-06-01,0.0,0,0.0,Mike Leigh
1522,Conspiracy Theory,1997-08-07,1.8264,75000000,136982834.0,Richard Donner
1523,Desperate Measures,1998-01-30,0.0,50000000,0.0,Barbet Schroeder
1524,Steel,1997-08-15,0.1054,16000000,1686429.0,Kenneth Johnson
1525,She's So Lovely,1997-08-29,0.0,18000000,0.0,Nick Cassavetes
1526,Hoodlum,1997-08-27,0.0,30000000,0.0,Bill Duke
1527,Leave it to Beaver,1997-08-22,0.0,0,0.0,Andy Cadiff
1528,Mimic,1997-08-22,0.8493,30000000,25480490.0,Guillermo del Toro
1529,Money Talks,1997-08-22,0.0,0,0.0,Brett Ratner
1530,Excess Baggage,1997-08-29,0.0,0,0.0,Marco Brambilla
1531,Kull the Conqueror,1997-08-29,0.0,0,0.0,John Nicolella
1532,Air Force One,1997-07-25,3.7077,85000000,315156409.0,Wolfgang Petersen
1533,One Eight Seven,1997-07-29,0.2858,20000000,5716080.0,Kevin Reynolds
1534,The Hunt for Red October,1990-03-02,6.64,30000000,199200000.0,John McTiernan
1535,My Own Private Idaho,1991-10-17,0.0,2500000,0.0,Gus Van Sant
1536,"Kiss Me, Guido",1997-07-18,0.0,0,0.0,Tony Vitale
1537,Star Maps,1997-07-23,0.0,0,0.0,Miguel Arteta
1538,In & Out,1997-09-10,0.0,35000000,0.0,Frank Oz
1539,The Edge,1997-09-06,0.0,0,43312294.0,Lee Tamahori
1540,The Peacemaker,1997-09-26,0.0,50000000,0.0,Mimi Leder
1541,L.A. Confidential,1997-09-19,3.6062,35000000,126216940.0,Curtis Hanson
1542,Seven Years in Tibet,1997-09-12,1.878,70000000,131457682.0,Jean-Jacques Annaud
1543,Kiss the Girls,1997-10-03,2.2418,27000000,60527873.0,Gary Fleder
1544,Soul Food,1997-09-26,0.0,0,0.0,"George Tillman, Jr."
1545,Kicked in the Head,1997-09-26,0.0,0,0.0,Matthew Harrison
1546,Wishmaster,1997-09-19,3.1438,5000000,15719109.0,Robert Kurtzman
1547,A Thousand Acres,1997-09-17,0.0,0,0.0,Jocelyn Moorhouse
1548,The Game,1997-09-12,2.1885,50000000,109423648.0,David Fincher
1549,Fire Down Below,1997-09-05,0.2667,60000000,16000000.0,Félix Enríquez Alcalá
1550,U Turn,1997-10-03,0.3517,19000000,6682098.0,Oliver Stone
1551,The Locusts,1997-10-03,0.0,0,10082.0,John Patrick Kelley
1552,The Matchmaker,1997-10-03,0.0,0,0.0,Mark Joffe
1553,The Assignment,1997-09-28,0.0,0,0.0,Christian Duguay
1554,A Smile Like Yours,1997-08-27,0.0,0,0.0,Keith Samples
1555,Ulee's Gold,1997-06-13,0.0,0,0.0,Victor Nunez
1556,The Ice Storm,1997-09-27,0.4466,18000000,8038061.0,Ang Lee
1557,Stag,1997-04-01,0.0,0,0.0,Gavin Wilding
1558,Chasing Amy,1997-04-04,48.0851,250000,12021272.0,Kevin Smith
1559,Def Jam's How to Be a Player,1997-08-06,0.0,0,13960203.0,Lionel C. Martin
1560,The Full Monty,1997-08-13,73.6715,3500000,257850122.0,Peter Cattaneo
1561,Alive and Kicking,1996-11-08,0.0,0,0.0,Nancy Meckler
1562,Mrs Brown,1997-07-18,0.0,0,0.0,John Madden
1563,I Know What You Did Last Summer,1997-10-17,7.3874,17000000,125586134.0,Jim Gillespie
1564,The Devil's Advocate,1997-10-17,2.6832,57000000,152944660.0,Taylor Hackford
1565,RocketMan,1997-10-10,0.0,16000000,0.0,Stuart Gillard
1566,Playing God,1997-10-17,0.3333,12000000,4000000.0,Andy Wilson
1567,The House of Yes,1997-10-10,0.4174,1500000,626057.0,Mark Waters
1568,"Fast, Cheap & Out of Control",1997-10-03,0.0,0,832735.0,Errol Morris
1569,Washington Square,1997-10-10,0.0,0,1.0,Agnieszka Holland
1570,Telling Lies In America,1997-08-02,0.0,0,0.0,Guy Ferland
1571,Year of the Horse,1997-10-08,0.0,0,0.0,Jim Jarmusch
1572,Gattaca,1997-09-07,0.3481,36000000,12532777.0,Andrew Niccol
1573,FairyTale: A True Story,1997-01-01,0.0,0,14000000.0,Charles Sturridge
1574,Phantoms,1998-01-23,0.0,0,5624282.0,Joe Chappelle
1575,Swept from the Sea,1998-01-23,0.0,0,0.0,Beeban Kidron
1576,Wonderland,1997-10-17,0.0,0,0.0,John O'Hagan
1577,A Life Less Ordinary,1997-10-24,0.0,12000000,0.0,Danny Boyle
1578,Hurricane Streets,1997-01-21,0.0,0,0.0,Morgan J. Freeman
1579,Eve's Bayou,1997-09-07,0.0,0,0.0,Kasi Lemmons
1580,Switchback,1997-10-31,0.1752,37000000,6482195.0,Jeb Stuart
1581,Gang Related,1997-10-08,0.0,0,5790448.0,Jim Kouf
1582,Stripes,1981-06-25,8.53,10000000,85300000.0,Ivan Reitman
1583,Nenette and Boni,1997-01-29,0.0,0,0.0,Claire Denis
1584,Bean,1997-07-03,13.9563,18000000,251212670.0,Mel Smith
1585,Hugo Pool,1997-01-01,0.0,0,0.0,Robert Downey Sr.
1586,Mad City,1997-11-07,0.2108,50000000,10541523.0,Costa-Gavras
1587,One Night Stand,1997-11-14,0.1101,24000000,2642983.0,Mike Figgis
