,title,generos,idioma,actores,overview,vote_count,popularity,runtime,release_date
2223,Dying Young,"Drama, Romance","English, Français, Português","Julia Roberts, Campbell Scott, Vincent D'Onofrio, Colleen Dewhurst, David Selby, Ellen Burstyn, Dion Anderson, George Martin, A.J. Johnson, Daniel Beer, Behrooz Afrakhan, Michael Halton, Larry Nash, Alex Trebek, Richard Friedenberg, Duncan Henderson, Bettina Rose, Howard Morris, Fran Lucci, John M. Rosenberg, Patrick Cage, Tim Bohn","After she discovers that her boyfriend has betrayed her, Hilary O'Neil is looking for a new start and a new job. She begins to work as a private nurse for a young man suffering from blood cancer. Slowly, they fall in love, but they always know their love cannot last because he is destined to die.",87,10.762636,111.0,1991-06-20
2224,Indochine,"Drama, Romance","Français, Tiếng Việt","Catherine Deneuve, Vincent Pérez, Linh Đan Phạm, Jean Yanne, Dominique Blanc, Alain Fromager, Eric Nguyen, Jean-Baptiste Huynh, Henri Marteau","The story starts in the 1930's at one of the largest rubber-tree plantations in Indochine (Vietnam). This plantation is owned by the French colonist Eliane, a proud woman who lives with her father and her native adoptive daughter Camille. She doesn't have a husband or a man in her life (apart from her father), but gets to know the young officer Jean-Baptiste when both want to buy the same painting at an auction. They have a short affair, but then she refuses to see him again. In the meantime it's Camille who has fallen in love with Jean-Baptiste and Eliane knows it. She makes sure he's sent to one of the most desolate outposts on some remote island, making sure that the two will never see each other again. Camille has no choice, but to marry the man she was promised to, but in the meantime she starts a search to find the man she really loves.",32,10.762325,148.0,1992-04-15
2225,Elite Squad,"Drama, Action, Crime",Português,"Wagner Moura, Caio Junqueira, André Ramiro, Milhem Cortaz, Fernanda Machado, Maria Ribeiro, Fábio Lago, Erick Oliveira, Marcelo Escorel, Roberta Santiago","In 1997, before the visit of the pope to Rio de Janeiro, Captain Nascimento from BOPE (Special Police Operations Battalion) is assigned to eliminate the risks of the drug dealers in a dangerous slum nearby where the pope intends to be lodged.",519,10.759577,115.0,2007-10-12
2226,Everest,"Adventure, Drama",English,"Jason Clarke, Jake Gyllenhaal, Josh Brolin, John Hawkes, Sam Worthington, Robin Wright, Keira Knightley, Clive Standen, Emily Watson, Mia Goth, Michael Kelly, Martin Henderson, Elizabeth Debicki, Tom Goodman-Hill, Vanessa Kirby, Naoko Mori, Mark Derwin, Thomas M. Wright, Ingvar Eggert Sigurðsson, Ang Phula Sherpa, Charlotte Bøving, Pemba Sherpa, Amy Shindler, Simon Harrison, Chris Reilly, Tim Dantay, Todd Boyce, Justin Salinger, Stormur Jón Kormákur Baltasarsson, Demetri Goritsas, Chike Chan, Micah A. Hauptman, Nancy Baldwin, Lucy Newman-Williams, Vijay Lama, Avin Shah","Inspired by the incredible events surrounding a treacherous attempt to reach the summit of the world's highest mountain, ""Everest"" documents the awe-inspiring journey of two different expeditions challenged beyond their limits by one of the fiercest snowstorms ever encountered by mankind. Their mettle tested by the harshest of elements found on the planet, the climbers will face nearly impossible obstacles as a lifelong obsession becomes a breathtaking struggle for survival.",1805,10.758754,121.0,2015-09-10
2227,Denial,"Drama, History",English,"Rachel Weisz, Tom Wilkinson, Timothy Spall, Andrew Scott, Jack Lowden, Caren Pistorius, Alex Jennings, Mark Gatiss, Andrea Deck, Sally Messham, John Sessions, Nikki Amuka-Bird, Harriet Walter, Pip Carter, Will Attenborough, Jackie Clune, Maximilian Befort, Sean Power, Daniel Cerqueira, Laurel Lefkow, Elliot Levey, Helen Bradbury, Jacob Krichefski, Abigail Cruttenden, Hilton McRae, Lachele Carl, Paul Hunter, Amanda Lawrence, Edward Franklin, Ziggy Heath, Tom Clarke Hill, Amber Batty, Todd Boyce, Sara Powell, Nicholas Tennant, Jeremy Paxman","Acclaimed writer and historian Deborah E. Lipstadt must battle for historical truth to prove the Holocaust actually occurred when David Irving, a renowned denier, sues her for libel.",161,10.754997,109.0,2016-09-30
2228,Wildlike,"Adventure, Drama, Thriller",English,"Bruce Greenwood, Ella Purnell, Brian Geraghty, Ann Dowd, Nolan Gerard Funk, Diane Farr, Joshua Leonard, Erin Lindsay King","Fourteen-year-old Mackenzie is sent to live with her uncle in Juneau when her mother can’t care for her anymore. The living situation quickly takes a turn for the worse, and she runs away to rejoin her mother in Seattle. While on her dangerous journey of sleeping in cars and breaking into hotel rooms, she’s drawn to Rene, a lonesome backpacker looking for tranquility in the wilderness.",44,10.754914,104.0,2014-09-25
2229,Phantoms,"Horror, Science Fiction, Thriller",English,"Ben Affleck, Peter O'Toole, Rose McGowan, Joanna Going, Liev Schreiber, Nicky Katt, Clifton Powell, Rick Otto, Valerie Chow, Adam Nelson, John Hammil, John Scott Clough, Michael DeLorenzo, William Hahn, Robert Himber, Bo Hopkins, Robert Knepper, Paul Schmidt, Dean Hallo, Clive Rosengren, Edmund Wyson, Lucas Elliot Eberl, Linnea Quigley, Judith Drake, Yvette Nipar","In the peaceful town of Snowfield, Colorado something evil has wiped out the community. And now, its up to a group of people to stop it, or at least get out of Snowfield alive.",110,10.754614,91.0,1998-01-23
2230,Bridget Jones's Baby,Comedy,English,"Renée Zellweger, Colin Firth, Patrick Dempsey, Jim Broadbent, Gemma Jones, Emma Thompson, Sally Phillips, James Callis, Shirley Henderson, Sarah Solemani, Neil Pearson, Celia Imrie, Jessica Hynes, Ed Sheeran, Erron Gordon, Julian Rhind-Tutt, Patrick Malahide, Donald Douglas","Breaking up with Mark Darcy leaves Bridget Jones over 40 and single again. Feeling that she has everything under control, Jones decides to focus on her career as a top news producer. Suddenly, her love life comes back from the dead when she meets a dashing and handsome American named Jack. Things couldn't be better, until Bridget discovers that she is pregnant. Now, the befuddled mom-to-be must figure out if the proud papa is Mark or Jack.",972,10.754139,123.0,2016-09-14
2231,The Childhood of a Leader,"Drama, Horror, Mystery","English, Français, Deutsch","Bérénice Bejo, Liam Cunningham, Robert Pattinson, Stacy Martin, Yolande Moreau, Sophie Curtis, Rebecca Dayan, Caroline Boulton, Tom Sweet",This chilling fable about the rise of fascism in the 20th Century tells the story of a young American boy living in France in 1918 whose father is working for the US government on the creation of the Treaty of Versailles. What he witnesses helps to mold his beliefs – and we witness the birth of a terrifying ego.,59,10.753568,115.0,2016-07-22
2232,One Hour Photo,"Horror, Thriller",English,"Robin Williams, Connie Nielsen, Michael Vartan, Erin Daniels, Eriq La Salle, Gary Cole, Dylan Smith, Lee Garlington, Marion Calvert, David Moreland, Jim Rash, Nick Searcy, Dave Engfer, Jimmy Shubert, Clark Gregg, Andy Rolfes, Carmen Mormino, Peter MacKenzie, Andy Comeau, Robert Clotworthy, Jesse Borja, Jeana Wilson, Megan Corletto, Paul Hansen Kim","Sy ""the photo guy"" Parrish has lovingly developed photos for the Yorkin family since their son was a baby. But as the Yorkins' lives become fuller, Sy's only seems lonelier, until he eventually believes he's part of their family. When ""Uncle"" Sy's picture-perfect fantasy collides with an ugly dose of reality, what happens next ""has the spine-tingling elements of the best psychological thrillers!""",444,10.753445,96.0,2002-08-21
2233,Fright Night 2: New Blood,"Horror, Comedy",English,"Will Payne, Sean Power, Sacha Parkinson, Chris Waller, Jaime Murray, John-Christian Bateman, Liana Margineanu, Alina Minzu, Adi Hostiuc, Joelle Coutinho, Ada Gales, Constantin Barbulescu, Catalin Banghea, Calin Andrei Razvan, Marius Chivu, Roxana Girleanu, Nicholas Lupu, Deliu Ionut, Andreea Mihalascu, Ana Maria Saragia, Costinel Lenghel, Banica Gheorghe, Mihai Verbintschi, Carmen Popa, Anastasia Pirogova, Dalila Poch, Ian Fisher","By day Gerri Dandridge is a sexy professor, but by night she transforms into a real-life vampire with an unquenchable thirst for human blood. So when a group of high school students travel abroad to study in Romania, they find themselves ensnared in her chilling web of lust and terror. Charlie and “Evil” Ed must stop Gerri from drinking and bathing in the blood of a “new moon virgin,” which just so happens to be Charlie’s ex-girlfriend, Amy.",81,10.752888,99.0,2013-08-31
2234,Cell,"Horror, Science Fiction, Thriller",English,"John Cusack, Samuel L. Jackson, Isabelle Fuhrman, Owen Teague, Clark Sarullo, Anthony Reynolds, Erin Elizabeth Burns, Stacy Keach, Alex ter Avest, Wilbur Fitzgerald, Joshua Mikel, Catherine Dyer, Griffin Freeman, Ethan Andrew Casto, Lloyd Kaufman, Mark Ashworth, E. Roger Mitchell, Gaby Leyner, Rey Hernandez, Frederick C. Johnson Jr., Michael Beasley, Griffin Freeman, Mandi Christine Kerr, Brian Boland, Alexis Humphrey, John Ross, Tony McFarr, Elizabeth Davidovich, Shellita Boxie, Maya Santandrea, Marcelle Coletti, Danya Bateman, Jennifer Badger, Jwaundace Candece, Greg Tresan, Remington Steele, Tammie Baird, Scott Loeser, Damita Jane Howard, John Ross","When a strange signal pulsates through all cell phone networks worldwide, it starts a murderous epidemic of epic proportions when users become bloodthirsty creatures, and a group of people in New England are among the survivors to deal with the ensuing chaos after.",325,10.752519,98.0,2016-07-06
2235,Blue Lagoon: The Awakening,"Drama, Adventure, Romance",English,"Indiana Evans, Brenton Thwaites, Denise Richards, Frank John Hughes, Alix Elizabeth Gitter, Jacob Artist, Patrick St. Esprit",Two high school students become stranded on a tropical island and must rely on each other for survival. They learn more about themselves and each other while falling in love.,294,10.751964,85.0,2012-06-16
2236,The Clan of the Cave Bear,"Adventure, Drama",English,"Daryl Hannah, Pamela Reed, James Remar, Thomas G. Waites, John Doolittle, Curtis Armstrong, Martin Doyle, Nicole Eggert, Salome Jens","Natural changes have the clans moving. Iza, medicine woman of the ""Clan of the Cave Bear"" finds little Ayla from the ""others""' clan - tradition would have the clan kill Ayla immediately, but Iza insists on keeping her. When the little one finds a most needed new cave, she's allowed to stay - and thrive.",28,10.750748,98.0,1986-01-17
2237,Anacondas: The Hunt for the Blood Orchid,"Adventure, Action, Horror, Science Fiction, Thriller","English, Pусский","Johnny Messner, KaDee Strickland, Matthew Marsden, Nicholas Gonzalez, Eugene Byrd, Karl Yune, Salli Richardson-Whitfield, Моррис Честнат, Andy Anderson, Nicholas Hope, Peter Curtin, Denis Arndt","The blood orchid - A rare flower that holds the secret of eternal life and a fortune to the pharmaceutical company that finds it. Led by a two-fisted soldier of fortune, a scientific expedition is sent deep into the jungles of Borneo to locate and bring back samples of the legendary plant. Battling their way upriver, the explorers brave poisonous insects, ferocious crocodiles and savage headhunters, unaware they're being stalked by an even greater danger: a nest of giant anacondas, voracious, fifty-foot-long flesh-eaters who'll stop at nothing to protect their breeding ground, the blood orchid's home.",200,10.749404,97.0,2004-08-26
2238,After Earth,"Science Fiction, Action, Adventure",English,"Jaden Smith, Will Smith, Sophie Okonedo, Zoë Kravitz, Glenn Morshower, Chris Geere, Diego Klattenhoff, David Denman, Lincoln Lewis, Jaden Martin, Sincere L. Bobb, Monika Jolly, Kristofer Hivju, Sacha Dhawan, Matthew Andrews, Isabelle Fuhrman, Darrell Foster, Tiffany E. Green, Jon Mack","One thousand years after cataclysmic events forced humanity's escape from Earth, Nova Prime has become mankind's new home. Legendary General Cypher Raige returns from an extended tour of duty to his estranged family, ready to be a father to his 13-year-old son, Kitai. When an asteroid storm damages Cypher and Kitai's craft, they crash-land on a now unfamiliar and dangerous Earth. As his father lies dying in the cockpit, Kitai must trek across the hostile terrain to recover their rescue beacon. His whole life, Kitai has wanted nothing more than to be a soldier like his father. Today, he gets his chance.",2579,10.747642,100.0,2013-05-30
2239,Particle Fever,Documentary,English,"Martin Aleksa, Nima Arkani-Hamed, Savas Dimopoulos, Monica Dunford, Fabiola Gianotti, David Kaplan, Mike Lamont",Physicists are on the cusp of the greatest scientific discovery of all time -- or perhaps their greatest failure.,102,10.743115,99.0,2013-06-14
2240,Army of Crime,"War, Drama, History","Français, Deutsch","Simon Abkarian, Virginie Ledoyen, Robinson Stévenin, Lola Naymark, Adrien Jolivet, Olga Legrand, Alexandru Potocean, Jean-Pierre Darroussin, Yann Trégouët, Pascal Cervo, Paula Klein, Boris Bergman, Léopold Szabatura, Ariane Ascaride, Garance Mazureck, Yann Loubatière, George Babluani, Miguel Ferreira, Pierre Niney, Grégoire Leprince-Ringuet","This gripping historical drama recounts the story of Armenian-born Missak Manouchian, a woodworker and political activist who led an immigrant laborer division of the Parisian Resistance on 30 operations against the Nazis in 1943. The Nazis branded the group an Army of Crime, an anti-immigrant propaganda stunt that backfired as the team's members became martyrs for the Resistance.",33,10.741315,139.0,2009-05-17
2241,Bedtime Stories,"Fantasy, Comedy, Family, Romance",English,"Adam Sandler, Keri Russell, Guy Pearce, Courteney Cox, Lucy Lawless, Teresa Palmer, Russell Brand, Aisha Tyler, Kathryn Joosten, Carmen Electra, Jonathan Pryce, Richard Griffiths, Jonathan Morgan Heit, Laura Ann Kesling, Nick Swardson, Allen Covert, Tim Herlihy, Thomas Hoffman, Abigail Droeger, Melany Mitchell, Andrew Collins, Julia Lea Wolov, Dana Goodman, Sarah Buxton, Catherine Kwong, Lindsey Alley, Blake Clark, Bill Romanowski, Paul Dooley, Johntae Lipscomb, Mikey Post, Sebastian Saraceno, Seth Howard, Jackie Sandler, Sadie Sandler, Valerie Gervickas, Debbie Lee Carrington, Billy Tyler, Lorna Scott, Annalise Basso, Shu Lan Tuan, Jonathan Loughran, Robert Harvey, Mike Andrella, J.D. Donaruma, Jon Schueler, Denverly Grant, Rob Schneider, JT Alexander, Nahid Azami, Veronica Bennett, Pete Brown, Amanda Burrill, Gina Cantrell, Betsy Hammer, Taylor Hardick, Nick Hermz, Rodrick Hersh, Austin Honaker, Mark Hunter, Dani Jacoby, Danni Katz, Alina Kaufman, Waymond Lee, Heather Morris, Louis Riviere, Nicole Sciacca, Alex Tyler, Kevin Vyce, Brian Waller, Shawna Wesley",Skeeter Bronson is a down-on-his-luck guy who's always telling bedtime stories to his niece and nephew. But his life is turned upside down when the fantastical stories he makes up for entertainment inexplicably turn into reality. Can a bewildered Skeeter manage his own unruly fantasies now that the outrageous characters and situations from his mind have morphed into actual people and events?,924,10.739419,99.0,2008-12-24
2242,Out of Time,"Thriller, Crime, Drama",English,"Denzel Washington, Eva Mendes, Sanaa Lathan, John Billingsley, Dean Cain, Alex Carter, Antoni Corone, Robert Baker, Ron Madoff, Terry Loughlin, Nora Dunn, Jesse Beaton","Matt Lee Whitlock, respected chief of police in small Banyan Key, Florida, must solve a vicious double homicide before he himself falls under suspicion. Matt Lee has to stay a few steps ahead of his own police force and everyone he's trusted in order to find out the truth.",305,10.738888,105.0,2003-10-03
2243,Glory Daze,Comedy,English,"Ben Affleck, Alyssa Milano, Sam Rockwell, Megan Ward, French Stewart, Vien Hong, Vinnie DeRamus, Kristin Bauer van Straten, John Rhys-Davies, Lance Wilson-White, Tegan West, Sean Whalen, Christine Klotz, Chris Slater, Elizabeth Ruscio, Spalding Gray, Brendan Fraser, Leah Remini, Jay Lacopo, Michael Stephen Ferrari, Mary Woronov, Meredith Salenger, Matt Damon, Matthew McConaughey","It's punk rock meets Animal House in this campus comedy that stars Ben Affleck as Jack, a soon-to-be graduate who finds he's having a difficult time letting go of the college life -- and decides maybe he doesn't have to. Also questioning whether there's life after college are Jack's roommates: Rob, who fears domestication; comic-strip artist Mickey, who's shy around girls; intellectual party animal Slosh; and perpetual student Dennis.",15,10.738755,100.0,1995-10-01
2244,The Machinist,"Thriller, Drama",English,"Christian Bale, Jennifer Jason Leigh, Aitana Sánchez-Gijón, John Sharian, Michael Ironside, Lawrence Gilliard Jr., Craig Stevenson, Reg E. Cathey, Anna Massey, Matthew Romero Moore, James DePaul, Robert Long, Philip Ettington","The Machinist is the story of Trevor Reznik, a lathe-operator who is dying of insomnia. In a machine shop, occupational hazards are bad enough under normal circumstances; yet for Trevor the risks are compounded by fatigue. Trevor has lost the ability to sleep. This is no ordinary insomnia...",1280,10.737565,101.0,2004-02-09
2245,True Grit,"Drama, Adventure, Western",English,"Jeff Bridges, Matt Damon, Josh Brolin, Barry Pepper, Hailee Steinfeld, Domhnall Gleeson, Bruce Green, Ed Lee Corbin, Roy Lee Jones, Paul Rae, Nicholas Sadler, Dakin Matthews, Elizabeth Marvel, Ruth Morris, Leon Russom, Jake Walker, Don Pirl, James Brolin, Jarlath Conroy, J.K. Simmons, Candyce Hinkle, Peter Leung, Joe Stevens, David Lipman, Orlando Smart, Ty Mitchell, Scott Sowers, Jonathan Joss, Maggie A. Goodman, Brandon Sanderson, Ruben Nakai Campana","Following the murder of her father by hired hand Tom Chaney, 14-year-old farm girl Mattie Ross sets out to capture the killer. To aid her, she hires the toughest U.S. Marshal she can find, a man with ""true grit,"" Reuben J. ""Rooster"" Cogburn. Mattie insists on accompanying Cogburn, whose drinking, sloth, and generally reprobate character do not augment her faith in him. Against his wishes, she joins him in his trek into the Indian Nations in search of Chaney. They are joined by Texas Ranger LaBoeuf, who wants Chaney for his own purposes. The unlikely trio find danger and adventure on the journey, and each has his or her ""grit"" tested.",1701,10.730765,110.0,2010-12-22
2246,School for Scoundrels,"Comedy, Drama, Romance",English,"Billy Bob Thornton, Jon Heder, Jacinda Barrett, Sarah Silverman, Michael Clarke Duncan, David Cross, Horatio Sanz, Matt Walsh, Todd Louiso, Ben Stiller, Luis Guzmán, Dan Fogler, DeRay Davis, Jon Glaser, Paul Scheer, Joanne Baron, Omar J. Dorsey, Marcella Lowery, Jim Parsons, Leonard Earl Howze, Aziz Ansari, Remy K. Selma, Andrew Daly, Bob Stephenson, Jessica Stroup, Lizz Carter, Steve Monroe, Malika Haqq, Khadijah Haqq, Nicole Randall Johnson, Kimberly Evan, Che Landon, Chris Rubio","A young guy short on luck, enrolls in a class to build confidence to help win over the girl of his dreams, which becomes complicated when his teacher has the same agenda.",112,10.725567,100.0,2006-09-29
2247,A Very Harold & Kumar Christmas,Comedy,English,"Neil Patrick Harris, John Cho, Elias Koteas, Danneel Ackles, Kal Penn, Patton Oswalt, Isabella Gielniak, Austin Bickel, Inga R. Wilson, Brett Gelman, Danny Trejo, Paula Garcés, Thomas Lennon, Eric Kissack, Amir Blumenfeld, Bobby Lee, Esteban Andres Cruz, Eddie Kaye Thomas, Dana DeLorenzo, Dan Levy, David Burtka, Gareth Reynolds, Jake Johnson, Richard Riehle","Six years have elapsed since Guantanamo Bay, leaving Harold and Kumar estranged from one another with very different families, friends and lives. But when Kumar arrives on Harold's doorstep during the holiday season with a mysterious package in hand, he inadvertently burns down Harold's father-in-law's beloved Christmas tree. To fix the problem, Harold and Kumar embark on a mission through New York City to find the perfect Christmas tree, once again stumbling into trouble at every single turn.",335,10.724679,108.0,2011-11-04
2248,Coneheads,"Comedy, Science Fiction, Family",English,"Robert Knott, Dan Aykroyd, Jane Curtin, Sinbad, Phil Hartman, Adam Sandler, Chris Farley, Eddie Griffin, Michael Richards, David Spade, Michael McKean, Drew Carey, Shishir Kurup, McNally Sagal, Michelle Burke, Jason Alexander, Lisa Jane Persky, Joey Lauren Adams, Parker Posey, Kevin Nealon, Julia Sweeney, Ellen DeGeneres, Walter Robles, Tim Meadows, Peter Aykroyd, Tom Arnold, Jon Lovitz, Laraine Newman, James Keane, Todd Susman, Whip Hubley","With enormous cone-shaped heads, robotlike walks and an appetite for toilet paper, aliens Beldar and Prymatt don't exactly blend in with the population of Paramus, N.J. But for some reason, everyone believes them when they say they're from France! As the odd ""Saturday Night Live"" characters settle into middle-class life in this feature-length comedy, a neighbor admires their daughter.",228,10.722729,88.0,1993-07-23
2249,Howard the Duck,"Comedy, Fantasy, Science Fiction","English, Português","Lea Thompson, Jeffrey Jones, Tim Robbins, Ed Gale, Holly Robinson Peete, David Paymer, Paul Guilfoyle, Richard Edson, Dominique Davalos, Liz Sagal",A scientific experiment unknowingly brings extraterrestrial life forms to the Earth through a laser beam. First is the cigar smoking drake Howard from the duck's planet. A few kids try to keep him from the greedy scientists and help him back to his planet. But then a much less friendly being arrives through the beam...,227,10.722672,110.0,1986-08-01
2250,Hitman: Agent 47,"Action, Crime, Thriller",English,"Rupert Friend, Zachary Quinto, Hannah Ware, Emilio Rivera, Rolf Kanies, Thomas Kretschmann, Dan Bakkedahl, Ciarán Hinds, Mona Pirzad, William E. Morris, Michaela Caspar, Jerry Hoffmann, AngelaBaby, Jürgen Prochnow, Charlene Beck, Michael Bornhütter, Melissa Broughton, Nils Brunkhorst, Alvin Chan, Michael Corcoran, Manuel Depta, Andrew Di Bartolomeo, Georg Ebinal, Jörg Ellmer, Waye Leon Goh, Matthias Günther, Jesse Hergt, Florian Hotz, Sebastian Hülk, Michael Knese, Felix Koch, Alrik Kreemke, Daniel Michael Nelson, Peter Paes, Helena Pieske, Markus Ranglack, Kira Smidt, Daniel Stockhorst, Johannes Suhm, Eskindir Tesfay, Asuka Tovazzi, Janice Koh Yu-Mei, Melanie Benna, David Brückner, Dennis Heath, Jessica Lois, Chris Theisinger, Joe Toedtling, Tomas Jester, Gillian Tan",An assassin teams up with a woman to help her find her father and uncover the mysteries of her ancestry.,1183,10.721799,96.0,2015-08-20
2251,V/H/S/2,"Horror, Thriller",English,"Adam Wingard, Lawrence Michael Levine, Kelsy Abbott, Hannah Hughes, L.C. Holt, Hannah Al Rashid, Fachry Albar, Oka Antara, Devon Brookshire, Samantha Gracie, Kevin Hunt, Epy Kusnandar, Carly Robell, Mindy Robinson, Jay Saunders, Jeremie Saunders, Andrew Suleiman, John T. Woods","Inside a darkened house looms a column of TVs littered with VHS tapes, a pagan shrine to forgotten analog gods. The screens crackle and pop endlessly with monochrome vistas of static white noise permeating the brain and fogging concentration. But you must fight the urge to relax: this is no mere movie night. Those obsolete spools contain more than just magnetic tape. They are imprinted with the very soul of evil.",300,10.714779,95.0,2013-06-06
2252,The Jungle Book,"Adventure, Drama, Family","English, Slovenčina","Jason Scott Lee, Cary Elwes, Lena Headey, Sam Neill, John Cleese, Jason Flemyng","Raised by wild animals since childhood, Mowgli is drawn away from the jungle by the beautiful Kitty. But Mowgli must eventually face corrupt Capt. Boone, who wants both Kitty's hand and the treasures of Monkey City – a place only Mowgli can find.",107,10.714235,111.0,1994-12-23
2253,Apollo 18,"Horror, Thriller, Science Fiction","Český, English","Ryan Robbins, Warren Christie, Lloyd Owen, Andrew Airlie, Michael Kopsa, Ali Liebert, Kurt Max Runte, Kim Wylie, Noah Wylie, Erica Carroll, Jan Bos","Officially, Apollo 17 was the last manned mission to the moon. But a year later in 1973, three American astronauts were sent on a secret mission to the moon funded by the US Department of Defense. What you are about to see is the actual footage which the astronauts captured on that mission. While NASA denies it's authenticity, others say it's the real reason we've never gone back to the moon.",359,10.711742,86.0,2011-07-20
2254,This Must Be the Place,Drama,"Français, Magyar","Sean Penn, Frances McDormand, Judd Hirsch, Eve Hewson, Kerry Condon, Harry Dean Stanton, Joyce Van Patten, David Byrne, Olwen Fouéré, Shea Whigham, Grant Goodman","A bored, retired rock star sets out to find his father's executioner, an ex-Nazi war criminal who is a refugee in the U.S.",275,10.710831,118.0,2011-10-01
2255,From a House on Willow Street,"Action, Horror",English,"Sharni Vinson, Carlyn Burchell, Steve John Ward, Zino Ventura, Nicole De Klerk, Dimitri Bajlanis, Gustav Gerdener, Zelmia Bezuidenhout, Ashish Gangapersad, Monica Ann Fourie, Ter Hollmann, Gina Shmukler, Mia Slabbert, Jonathan Taylor","After a young woman is kidnapped, her captors soon come to realize that in fact they may be the ones in danger and this young woman has a dark secret inside her.",43,10.709604,90.0,2017-03-24
2256,Killing Kennedy,Drama,English,"Rob Lowe, Will Rothhaar, Ginnifer Goodwin, Michelle Trachtenberg, Jack Noseworthy, Casey Siemaszko, Jamie McShane, Mary Pat Gleason, Boris McGiver, Antoinette LaVecchia, Francis Guinan","Drama documentary based on Bill O'Reilly's and Martin Dugard's 2012 non-fiction book ""Killing Kennedy: The End of Camelot"". It follows the parallel lives of John F. Kennedy and Lee Harvey Oswald from the winter 1959-1960 to those fatal days in Dallas in November 1963, when they both died within two days after each other and were buried on the same day - John F. Kennedy in a state funeral in Washington D.C., broadcast live both to Europe and the Pacific, while Oswald was buried in Forth Worth at a small funeral where the attending reporters were asked to act as pallbearers.",34,10.705301,87.0,2013-11-10
2257,Enemy at the Gates,War,"Deutsch, English, Pусский","Jude Law, Rachel Weisz, Ed Harris, Joseph Fiennes, Bob Hoskins, Ron Perlman, Eva Mattes, Gabriel Thomson, Matthias Habich, Alexander Schwan, Lenn Kudrjawizki, Gennadi Vengerov, Dan van Husen, Ivan Shvedoff, Sophie Rois, Mikhail Matveev, Philip Ettington",Enemy at the Gates is a war film from Jean-Jacques Annaud from 2001 that takes place during the battle of Stalingard in World War II between the Russians and the Germans.,1023,10.704813,131.0,2001-03-13
2258,Army of Darkness,"Fantasy, Horror, Comedy",English,"Bruce Campbell, Embeth Davidtz, Marcus Gilbert, Ian Abercrombie, Richard Grove, Timothy Patrick Quill, Michael Earl Reid, Bridget Fonda, Patricia Tallman, Ted Raimi, Deke Anderson","A man is accidentally transported to 1300 A.D., where he must battle an army of the dead and retrieve the Necronomicon so he can return home.",852,10.704612,81.0,1992-10-09
2259,Driving Miss Daisy,"Comedy, Drama","English, Magyar, Polski","Morgan Freeman, Jessica Tandy, Dan Aykroyd, Patti LuPone, Esther Rolle, Joann Havrilla, William Hall Jr., Clarice F. Geigerman, Muriel Moore, Sylvia Kaler, Alvin M. Sugarman, Carolyn Gold, Crystal R. Fox, Bob Hannah, Ray McKinnon, D. Taylor Loeb",The story of an old Jewish widow named Daisy Werthan and her relationship with her colored chauffeur Hoke. From an initial mere work relationship grew in 25 years a strong friendship between the two very different characters in a time when those types of relationships where shunned upon. Oscar winning tragic comedy with a star-studded cast and based on a play of the same name by Alfred Uhry.,358,10.703677,99.0,1989-12-13
2260,Copycat,"Drama, Thriller","English, Deutsch","Sigourney Weaver, Holly Hunter, Will Patton, William McNamara, Harry Connick Jr., J.E. Freeman, Dermot Mulroney, John Rothman, Shannon O'Hurley, Bob Greene, Tony Haney, Danny Kovacs, Tahmus Rounds, Scott Devenney, David Michael Silverman",An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,199,10.701801,124.0,1995-10-27
2261,Certified Copy,"Drama, Romance","English, Français, Italiano","Juliette Binoche, William Shimell, Jean-Claude Carrière, Agathe Natanson, Gianna Giachetti, Adrian Moore, Angelo Barbagallo, Andrea Laurenzi, Filippo Trojano, Manuela Balsinelli","In Tuscany to promote his latest book, a middle-aged English writer meets a French woman who leads him to the village of Lucignano.",90,10.701501,106.0,2010-05-18
2262,Deadgirl,"Romance, Horror, Thriller",English,"Shiloh Fernandez, Noah Segan, Michael Bowen, Candice King, Andrew DiPalma, Eric Podnar, Nolan Gerard Funk, Jenny Spain, Christina Masterson, Susan Marie Keller, Kelle Cantwell, Kathleen M. Darcy, Christina Blevins, Nadine Crocker","When high school misfits Rickie and JT decide to ditch school and find themselves lost in the crumbling facility of a nearby abandoned hospital, they come face-to-face with a gruesome discovery: a body of a woman stripped naked, chained to a table and covered in plastic and soon realize she is anything but dead. Quickly the boys find themselves embarking on a twisted yet poignant journey testing the limits of their friendship, and forces both to decide just how far they're willing to stretch their understanding of right and wrong.",100,10.698928,101.0,2008-09-06
2263,Zathura: A Space Adventure,"Family, Fantasy, Science Fiction, Adventure",English,"Jonah Bobo, Josh Hutcherson, Dax Shepard, Kristen Stewart, Tim Robbins, Frank Oz, Derek Mears, Douglas Tait, Joe Bucaro III, Jeff Wolfe, John Alexander","After their father is called into work, two young boys, Walter and Danny, are left in the care of their teenage sister, Lisa, and told they must stay inside. Walter and Danny, who anticipate a boring day, are shocked when they begin playing Zathura, a space-themed board game, which they realize has mystical powers when their house is shot into space. With the help of an astronaut, the boys attempt to return home.",808,10.695639,101.0,2005-11-06
